id,date,deadline_date,title,category,phase,awarded_value_in_euros,tender_country
35839,2021-09-28,2021-10-25,Hűtési rendszerek telepítése (796/2021),constructions,Contracting and performance phase,186513.86,Hungary
35775,2021-09-07,2021-09-24,Útfelújítás Monorierdőn,constructions,Contracting and performance phase,71231.92,Hungary
35542,2021-09-20,2021-09-28,Zeneiskola épületének kiegészítő munkái,constructions,Contracting and performance phase,223419.70,Hungary
35337,2021-09-16,2021-10-05,Napköziotthonos óvoda bővítése,constructions,Contracting and performance phase,159524.32,Hungary
35330,2021-10-04,2021-10-20,Közútfejlesztés Piliscsabán,constructions,Contracting and performance phase,185474.95,Hungary
586940,2023-05-03,,Dostawa odczynników i testów. Część 1-5,supplies,,805.41,Poland
586948,2023-05-03,,Dostawa licencji IBM wraz z 12 miesięcznym wsparciem technicznym producenta,supplies,,611701.66,Poland
585088,2022-11-23,2022-12-08,Dostawa sprzętu medycznego dla potrzeb Uzdrowiska Goczałkowice - Zdrój Sp. z o.o. z siedzibą w Goczałkowicach - Zdroju,supplies,,26679.84,Poland
583899,2022-11-16,2022-11-24,Zakup wyposażenia do Centrum Opiekuńczo Mieszkalnego w Kętrzynie przy ul. Sikorskiego 46 (3).,supplies,,25272.55,Poland
584049,2022-04-21,2022-04-29,Dostawa artykułów żywnościowych do stołówki szkolnej od maja do grudnia 2022r .,supplies,,85121.42,Poland
587527,2022-11-09,2022-11-17,Zimowe utrzymanie dróg w sezonie zimowym 2022/2023 (II postępowanie),services,,146186.17,Poland
585093,2022-10-25,2022-11-04,Sukcesywna dostawa pasty do powlekania,supplies,,18739.60,Poland
583014,2022-11-16,2022-11-25,"ŚWIADCZENIE USŁUGI OCHRONY OSÓB, MIENIA I OBIEKTÓW PROKURATURY REGIONALNEJ W GDAŃSKU",services,,120727.16,Poland
589216,2022-11-22,2022-11-30,Sukcesywne dostawy oleju opałowego lekkiego wraz z transportem w ilości do 120 m3 dla Zespołu Szkół Centrum Kształcenia Rolniczego w Sypniewie,supplies,,159923.89,Poland
584849,2022-09-09,2022-09-26,„Remont ulicy Władysława Jagiełły i Stefana Batorego w Kętrzynie w ramach projektu „Zakup taboru niskoemisyjnego wraz z poprawą infrastruktury transportowej miasta Kętrzyn.”,constructions,,1183102.84,Poland
588785,2022-10-04,2022-10-19,Przebudowa dróg powiatowych w miejscowościach popegeerowskich na terenie Gminy Miejsce Piastowe i Gminy Dukla,constructions,,416159.14,Poland
589444,2022-10-14,2022-10-24,Dostawa i montaż urządzeń zabawowych na place zabaw w Sopocie,supplies,,50246.35,Poland
584499,2022-07-19,2022-08-23,Budowa krytej pływalni w Skarszewach,constructions,,5846745.90,Poland
582009,2022-11-03,2022-11-10,DOSTAWA MONITORÓW INTERAKTYWNYCH W RAMACH PROJEKTU PODNIESIENIE KOMPETENCJI CYFROWYCH WŚRÓD UCZNIÓW I NAUCZYCIELI WOJEWÓDZTWA PODLASKIEGO,supplies,,3293.32,Poland
589142,2022-10-10,2022-10-18,Dostawa infrastruktury hiperkonwergentnej,supplies,,126871.39,Poland
589161,2022-09-02,2022-09-13,Sukcesywne dostawy produktów żywnościowych do Stołówki Uniwersytetu Warszawskiego,supplies,,49310.88,Poland
588501,2022-05-31,2022-06-17,"Rozbudowa drogi powiatowej Nr 2533W Chudek – Gleba – Kierzek – Zawady od km 9+770,00 do km 10+100,00",constructions,,184465.72,Poland
584026,2022-09-22,2022-10-07,REMONTY DRÓG LEŚNYCH NA TERENIE NADLEŚNICTWA DALESZYCE,constructions,,21729.62,Poland
588179,2022-09-28,2022-10-07,Zimowym utrzymaniu dróg gminnych i wewnętrznych oraz parkingów na terenie gminy Kołaczyce w sezonie zimowym 2022/2023.,services,,1348.80,Poland
589632,2022-08-30,2022-09-14,Zaprojektowanie i wykonanie robót budowlanych w ramach zadania pn.: „Dostawa i montaż instalacji fotowoltaicznej o mocy do 50 kWp” w WZOZ z siedzibą w Częstochowie.”,constructions,,49287.05,Poland
581291,2022-08-24,2022-09-16,Budowa budynku mieszkalnego wielorodzinnego przy ul. Polnej 16 w Ustce (budynek B-4),constructions,,1838300.74,Poland
581699,2022-08-12,2022-08-22,Dostawa sprzętu dydaktycznego dla Szkoły Podstawowej nr 182 w Łodzi w ramach realizacji projektu „Laboratoria przyszłości”,supplies,,13144.01,Poland
580850,2022-08-22,2022-08-30,Dostawa materiałów biurowych i papieru ksero.,supplies,,95533.15,Poland
582013,2022-07-20,2022-07-28,Zawarcie umów ramowych na świadczenie usług transportowych,services,,73777.97,Poland
581718,2022-07-14,2022-07-22,Dostawa sprzętu komputerowego dla dzieci z rodzin popegeerowskich w ramach projektu Cyfrowa Gmina - „Wsparcie dzieci z rodzin pegeerowskich w rozwoju cyfrowym – Granty PPGR”,supplies,,95040.71,Poland
579782,2022-06-28,2022-07-06,Opracowanie dokumentacji projektowej przebudowy budynku biblioteki na potrzeby filii NCK w Nowosielcu,services,,4832.75,Poland
583692,2022-06-10,2022-06-27,ZAGOSPODAROWANIE ZABYTKOWEGO DWORKU WRAZZ OTOCZENIEM W MIEJSCOWOŚCI STRASZĘCIN,constructions,,35357.64,Poland
591468,2022-07-01,2022-07-11,"„Zakup i dostawa urządzeń informatycznych z oprogramowaniem oraz usługą szkoleniową w ramach zapewnienia cyberbezpieczeństwa systemów informatycznych Urzędu Miejskiego w Olszynie""",services,,22032.56,Poland
578226,2022-06-13,2022-06-23,dostawa komponentów do rozbudowy podsystemu pamięci masowej,supplies,,222483.53,Poland
579716,2022-05-04,2022-05-19,Przebudowa dróg gminnych w podziale na części,constructions,,76855.93,Poland
577218,2022-06-03,2022-06-13,Dostawa sprzętu II dla realizowanego projektu „eCareMed - eZdrowie w Szpitalu Specjalistycznym Nr 2 w Bytomiu”,supplies,,11515.94,Poland
577039,2022-03-10,2022-03-25,Budowa Centrum Przesiadkowego w Świerklańcu przy ulicy Parkowej,constructions,,1243963.12,Poland
583773,2022-03-28,2022-04-07,Kulturalna wielo – hybrydowa konwersja Gminnego Ośrodka Kultury w Wielowsi z podziałem na zadania częściowe.,supplies,,39454.55,Poland
580892,2022-03-30,2022-04-08,Dostawa mięsa do Dziennego Domu Pomocy Społecznej Wrzos w Tychach,supplies,,12750.45,Poland
575864,2022-03-02,2022-03-17,Przebudowa ul. Wiejskiej i Wiosennej w Niewodnikach,constructions,,290776.23,Poland
587352,2022-02-08,2022-02-21,Zakup i dostawa leków dla potrzeb Apteki szpitalnej,supplies,,138900.19,Poland
576986,2022-01-12,2022-01-28,Remont nawierzchni dróg powiatowych nr 2709G i 2707G z podziałem na dwie części:,constructions,,483381.88,Poland
582288,2021-12-03,2021-12-14,Dostawę artykułów żywnościowych do jednostek obsługiwanych przez Zespół do obsługi Placówek Opiekuńczo-Wychowawczych Nr 3 w Warszawie na rok 2022,supplies,,1277.95,Poland
571816,2021-12-06,2021-12-14,Organizacja i przeprowadzenie kursu podstawowego spawania metodą MIG oraz TIG w podziale na 3 części,services,,3301.20,Poland
584014,2021-12-13,2021-12-21,"Dostawa mięsa i wędlin, mrożonek i ryb, nabiału i produktów mleczarskich, warzyw i owoców, pieczywa, wyrobów piekarskich i ciastkarskich, różnych artykułów spożywczych i jaj.",supplies,,40604.83,Poland
578280,2021-11-26,2021-12-08,Dowożenie wraz z zapewnieniem opieki uczniów,services,,36587.85,Poland
578003,2021-11-23,2021-12-02,Dostawa żywności na potrzeby Domu Pomocy Społecznej „Zacisze” z podziałem na 9 części,supplies,,17945.11,Poland
510041,2021-03-04,2021-03-16,Dostawa sprzętu jednorazowego użytku - 1,supplies,,43980.36,Poland
509263,2021-03-08,2021-03-16,ZP1/03/2021 R. Sukcesywna dostawa artykułów żywnościowych dla Zespołu Placówek Oświatowych w Janowie Podlaskim w 2021.,supplies,,34442.48,Poland
504812,2021-03-23,2021-03-31,Dostawa (sprzedaż wraz z transportem) kruszyw kamiennych.,supplies,,22344.17,Poland
579387,2021-11-29,2021-12-10,Zakup biletów miesięcznych dla uczniów w gminie Dębe Wielkie w okresie od dnia 03.01.2022 r. do 30.06.2022 r.,services,,17459.79,Poland
575823,2021-11-29,2021-12-07,Dostawa używanych lub nowych urządzeń wielofunkcyjnych,supplies,,5297.60,Poland
569847,2021-11-09,2021-12-03,BUDOWA ZESPOŁU BOISK SPORTOWYCH PRZY ZESPOLE SZKÓŁ LEŚNYCH W BIŁGORAJU - ETAP III,constructions,,163382.47,Poland
570845,2021-11-04,2021-11-19,"Rozbiórka obiektów budowlanych wchodzących w skład Zasobu Własności Rolnej Skarbu Państwa, położonych w miejscowościach: Buszkowiczki, Skołoszów, Głobikowa na terenie woj. podkarpackiego",constructions,,19840.86,Poland
571838,2021-10-04,2021-10-15,Zakup i dostawa aparatury badawczej oraz drobnego sprzętu laboratoryjnego dla Międzynarodowego Centrum Badań Innowacyjnych Biomateriałów (ICRI-BioM) Międzynarodowa Agenda Badawcza w Łodzi,supplies,,14967.48,Poland
582233,2021-09-29,2021-10-18,Modernizacja pomieszczeń biurowych w budynku administracyjno - leczniczym Szpitala Mazowieckiego w Garwolinie Sp. z o.o.,constructions,,191872.14,Poland
569397,2021-11-08,2021-11-23,Wykonanie nowego pokrycia dachowego z pracami towarzyszącymi dla Podstacji Sądeckiego Pogotowia Ratunkowego w Krynicy Zdroju.,constructions,,7824.41,Poland
574102,2021-10-12,2021-10-27,Modernizacja sieci LAN urzędów skarbowych województwa lubelskiego.,constructions,,657233.47,Poland
570050,2021-10-18,2021-11-02,Modernizacja sali kinowej Miejsko-Gminnego Ośrodka Kultury w Więcborku – wykonanie widowni,constructions,,63613.25,Poland
569118,2021-10-05,2021-10-15,Kursy dla uczniów,services,,14036.73,Poland
570835,2021-08-09,2021-08-17,Badania ankietowe i zogniskowane wywiady grupowe (FGI) dotyczące dostępności systemu wsparcia relacji w ramach projektu „Zintegrowany system zapobiegania przemocy domowej”,services,,43008.51,Poland
566898,2021-08-05,2021-08-20,Przebudowa ul. Rodła,constructions,,461375.57,Poland
564371,2021-06-29,2021-07-12,"Opracowanie dokumentacji projektowej dla zadania pn. ""Rozbudowa drogi wojewódzkiej nr 179 Szydłowo -Dolaszewo wraz z budową ścieżki rowerowej"".",services,,64111.10,Poland
564370,2021-07-19,2021-08-03,Remont drogi gminnej nr G131154P na odcinku Leżenica-Leżenica Kolonia-Jaraczewo,constructions,,99089.74,Poland
564369,2021-07-23,2021-08-10,Przebudowa drogi gminnej w m. Leżenica,constructions,,37437.33,Poland
564368,2021-07-30,2021-08-16,Budowa wiaty magazynowej na terenie Zakładu Unieszkodliwiania Odpadów w Siedliskach k/Ełku,constructions,,129276.35,Poland
569042,2021-07-29,2021-08-06,"""Dostawa żywienia pozajelitowego wraz z dzierżawą loży laminarnej oraz dostawa żywienia dojelitowego na rzecz Szpitala Czerniakowskiego sp. z o.o.""",supplies,,23969.53,Poland
564330,2021-08-04,2021-08-19,Remont pobocza przy drodze powiatowej Nr 3521L na odcinku Chorążanka - Przewłoka,constructions,,110078.43,Poland
564248,2021-07-16,2021-07-28,Dostawa sprzętu do utrzymania czystości,supplies,,36817.05,Poland
564230,2021-08-16,2021-08-24,Dostawa sprzętu 1x użytku uzupełnienie VII,supplies,,1454.43,Poland
564229,2021-08-05,2021-08-20,Dostawa ziemniaków w okresie jesienno-wiosennym,supplies,,2185.62,Poland
562905,2021-08-13,2021-08-25,Usługi przygotowywania i dostarczania posiłków na potrzeby Zespołu Szkolno-Przedszkolnego w Nowym Aleksandrowie,services,,63086.59,Poland
561531,2021-08-13,2021-08-23,Przygotowanie i podanie posiłków w kuchni zamawiającego,services,,91342.67,Poland
564314,2021-08-02,2021-08-11,Sukcesywne dostawy kruszyw wraz z transportem i rozładunkiem,supplies,,113822.56,Poland
564245,2021-07-26,2021-08-06,"Sprawowanie bezpośredniej opieki, tzw. opieka wytchnieniowa, nad dziećmi i osobaminiepełnosprawnymi na terenie Gminy i Miasta Czerwionka-Leszczyny",services,,10508.34,Poland
564243,2021-07-26,2021-08-05,Świadczenie usług Asystenta Osobistego Osoby Niepełnosprawnej dla osób niepełnosprawnych z terenu Gminy i Miasta Czerwionka-Leszczyny,services,,24169.18,Poland
564237,2021-07-30,2021-08-16,Wzbogacenie oferty spędzania wolnego czasu poprzez budowę i wyznaczenie szlaków rowerowych wraz z nowymi obiektami infrastruktury turystyczno-rekreacyjnej w gminie Wietrzychowice,constructions,,137401.37,Poland
564161,2021-07-22,2021-08-02,Dostawa sprzętu elektronicznego na potrzeby Zespołu Szkół w Dąbrowie Białostockiej.,supplies,,7480.53,Poland
559820,2021-06-09,2021-06-25,Modernizacja budynku Przedszkola Samorządowego nr 7 w Piotrkowie Trybunalskim,constructions,,156053.71,Poland
567400,2021-06-28,2021-07-14,Przebudowa drogi gminnej Nr 115164E relacji Wola Pękoszewska - Niemieryczew,constructions,,196913.98,Poland
564338,2021-07-16,2021-08-03,"Wymiana źródła ciepła i instalacji centralnego ogrzewania, ciepłej wody użytkowej oraz wod-kan w budynku przy ul. Parkowej 10 w Rogowie",constructions,,44844.81,Poland
564206,2021-07-12,2021-08-02,Modernizacja systemu sygnalizacji pożarowej budynku Centrum Sztuki Mościce,constructions,,38112.90,Poland
564165,2021-08-04,2021-08-20,Wykonanie pokrycia dachu z dachówki ceramicznej karpiówki budynku mieszkalnego usytuowanego przy ul. Stylowej 14 w Warszawie.,constructions,,73755.00,Poland
564136,2021-08-03,2021-08-11,Usługi restauracyjne na rzecz dzieci uczęszczającychdo Przedszkola nr 104 „Na Misiowej Polanie” we Wrocławiu,services,,210094.49,Poland
564131,2021-07-22,2021-07-30,Opracowanie dokumentacji projektowej wraz z uzyskaniem niezbędnych decyzji administracyjnych dla: Budowa sieci kanalizacji sanitarnej wraz z przyłączami w 2 sołectwach w Gminie Brzeszcze,services,,96624.26,Poland
564108,2021-07-21,2021-07-29,Dostawa nowego samochodu ratowniczo-gaśniczego typu średniego z napędem 4x4 dla Ochotniczej Straży Pożarnej w Zimnej Brzeźnicy,supplies,,184928.10,Poland
564083,2021-07-23,2021-08-09,"Termomodernizacja budynku mieszkalnego przy ul. Michała Drzymały 10 w Policach wraz z robotami towarzyszącymi, administrowanego przez Zakład Gospodarki Komunalnej i Mieszkaniowej w Policach",constructions,,43140.51,Poland
563882,2021-07-16,2021-07-27,Systematyczne dostawy do PAP S.A. prasy krajowej w wersji papierowej,supplies,,11848.24,Poland
561260,2021-08-03,2021-08-13,Wykonywanie usług przewozów regularnych specjalnych dla uczniów placówek oświatowych działających na terenie Gminy Chodzież w okresach nauki szkolnej 2021-2023.,services,,158893.23,Poland
564304,2021-06-29,2021-07-15,"Budowa boiska wielofunkcyjnego, bieżni prostej zakończonej skocznią do skoku w dal przy Zespole Szkolno - Przedszkolnym w Łuszczowie",constructions,,202249.95,Poland
564299,2021-07-01,2021-07-19,Budowa oświetlenia ulicznego na terenie Gminy Zarszyn,constructions,,129107.84,Poland
564196,2021-07-09,2021-07-19,Wykonanie usługi polegającej na wsparciu modernizacji oprogramowania Centrum Infrastruktury Badawczej Indukowanej Sejsmiczności (CIBIS),services,,34735.23,Poland
564179,2021-07-01,2021-07-16,„Przebudowa wiaduktu w ciągu drogi powiatowej nr 5055S w km 1+745 w miejscowości Bluszczów”,constructions,,332796.60,Poland
564157,2021-08-04,2021-08-12,Dowóz i odwóz uczniów do placówek oświatowych na terenie Gminy Pionki oraz uczniów niepełnosprawnych do placówki oświatowej na terenie Gminy Miasta Pionki w roku szkolnym 2021/2022,services,,44236.80,Poland
564148,2021-07-23,2021-08-10,Remont drogi dz. ewid. nr 769/1 „Do leśniczówki „ w km 0 + 420 – km 0 + 940 w miejscowosci Nowy Dzików,constructions,,46726.71,Poland
564135,2021-07-28,2021-08-05,Usługi restauracyjne na rzecz uczniów uczęszczającychdo Szkoły Podstawowej nr 118 we Wrocławiu.,services,,229159.66,Poland
564100,2021-07-28,2021-08-10,DOWÓZ UCZNIÓW DO SZKÓŁ PODSTAWOWYCH z terenu Miasta i Gminy Czerwińsk nad Wisłą W ROKU SZKOLNYM 2021/2022,services,,80578.42,Poland
564081,2021-07-22,2021-08-09,„Modernizacja dachów na budynkach oświatowych Gminy Wolbrom w Gołaczewach i Zarzeczu oraz modernizacja budynku gminnego w Porębie Dzierżnej”.,constructions,,51840.79,Poland
564034,2021-06-14,2021-06-22,˜Zakup nowego ciężkiego samochodu ratowniczo-gaśniczego z napędem 4x4 dla Ochotniczej Straży Pożarnej w Gniewkowie,supplies,,237837.44,Poland
561428,2021-08-10,2021-08-18,Świadczenie usług w zakresie sprzątania w budynku szkołyZespołu Szkolno-Przedszkolnego nr 22we Wrocławiu,services,,39647.00,Poland
564238,2021-06-21,2021-07-06,Modernizacja dachu na budynku Szkoły Podstawowej w Skępem,constructions,,73508.75,Poland
564109,2021-07-13,2021-07-27,"Wykonanie podbudowy z gruntu rodzimego stabilizowanego spoiwem hydraulicznym: Droga nr 61 Nadleśnictwo Międzyrzecz, Rm 2,5 MPa gr. Warstwy 30 cm",constructions,,75231.87,Poland
564063,2021-07-30,2021-08-09,Przewozy dzieci z terenu gminy Ochotnica Dolna na zajęcia szkolne wraz z zapewnieniem opieki nad nimi w trakcie przewozów,services,,16393.98,Poland
564058,2021-08-10,2021-08-18,Dowóz uczniów szkół gminy Bytów do Kompleksu Basenowo-Rekreacyjnego „Nimfa” w Bytowie oraz dowóz uczniów z niepełnosprawnością do szkół w gminie Bytów w roku szkolnym 2021/2022,services,,22883.86,Poland
564009,2021-07-20,2021-07-29,KONSERWACJA I PRZEGLĄD URZĄDZEŃ WENTYLACYJNYCH I KLIMATYZACYJNYCH W BUDYNKACH INSTYTUT HEMATOLOGII I TRANSFUZJOLOGII W WARSZAWIE W SIEDZIBACH PRZY UL. I. GANDHI 14 I CHOCIMSKIEJ 5,services,,3844.56,Poland
2059542,2021-11-20,,publicare anunt angajare in presa locala,supplies,,,Romania
2059348,2021-11-19,,CAMERA AER,supplies,,,Romania
2058318,2021-11-19,,ULEI AUTO,supplies,,,Romania
2058317,2021-11-19,,Manusi de unica folosinta-60cutii pentru Centrele de vaccinare,supplies,,,Romania
2058316,2021-11-19,,DSTR - Servicii de inspectie tehnică a autovehiculelor,services,,,Romania
2058315,2021-11-19,,servicii de reparatie si intretinere autovehicule,services,,,Romania
2058314,2021-11-19,,SERVICII DE REPARATII SI INTRETINERE A AUTOMOBILELOR PIESE SI MANOPERA CF DEVIZ NR.85/18.11.2021,services,,,Romania
2058313,2021-11-19,,timbre postale,services,,,Romania
2058312,2021-11-19,,medicmamente necompensate,supplies,,,Romania
